concept,maincategory,subcategory
帆船,交通工具,船
巴士,交通工具,车
出租车,交通工具,车
地铁,交通工具,车
公交车,交通工具,车
吉普车,交通工具,车
轿车,交通工具,车
卡车,交通工具,车
摩托车,交通工具,车
碰碰车,交通工具,车
赛车,交通工具,车
三轮车,交通工具,车
手推车,交通工具,车
消防车,交通工具,车
有轨电车,交通工具,车
运钞车,交通工具,车
自行车,交通工具,车
床罩,人造物,家具
卷帘,人造物,家具
墙纸,人造物,家具
浴帘,人造物,家具
枕套,人造物,家具
镜框,人造物,工具
漏斗,人造物,工具
扫帚,人造物,工具
沙漏,人造物,工具
桶,人造物,工具
眼镜盒,人造物,工具
针线篮,人造物,工具
篱笆,人造物,建筑
护腕,人造物,服饰
礼服,人造物,服饰
凉鞋,人造物,服饰
皮帽,人造物,服饰
拖鞋,人造物,服饰
运动装,人造物,服饰
长袖,人造物,服饰
盾牌,人造物,武器
枪,人造物,武器
陀螺,人造物,玩具
电池,人造物,电器
竹子,植物,树木
草莓,植物,水果
蓝莓,植物,水果
枇杷,植物,水果
脐橙,植物,水果
青梅,植物,水果
桑葚,植物,水果
山楂,植物,水果
无花果,植物,水果
草,植物,花草
风信子,植物,花草
狗尾草,植物,花草
金银花,植物,花草
菊花,植物,花草
满天星,植物,花草
仙人掌,植物,花草
番茄,植物,蔬菜
海藻,植物,蔬菜
红薯,植物,蔬菜
花菜,植物,蔬菜
卷心菜,植物,蔬菜
萝卜,植物,蔬菜
泡菜,植物,蔬菜
青菜,植物,蔬菜
笋,植物,蔬菜
莴笋,植物,蔬菜
西兰花,植物,蔬菜
大理石,自然物,自然物
露珠,自然物,自然物
石头,自然物,自然物
水晶,自然物,自然物
雪花,自然物,自然物
岩石,自然物,自然物
珍珠,自然物,自然物
钻石,自然物,自然物
大脑,身体部位,身体部位
骨架,身体部位,身体部位
喉,身体部位,身体部位
胡须,身体部位,身体部位
脚,身体部位,身体部位
肋骨,身体部位,身体部位
泪珠,身体部位,身体部位
眉毛,身体部位,身体部位
拇指,身体部位,身体部位
手,身体部位,身体部位
手臂,身体部位,身体部位
手掌,身体部位,身体部位
头,身体部位,身体部位
头皮,身体部位,身体部位
腿,身体部位,身体部位
膝盖,身体部位,身体部位
心脏,身体部位,身体部位
血管,身体部位,身体部位
牙齿,身体部位,身体部位
指甲,身体部位,身体部位
嘴唇,身体部位,身体部位
冰棍,食物,固态干粮
饼干,食物,固态干粮
蛋卷,食物,固态干粮
馒头,食物,固态干粮
棉花糖,食物,固态干粮
魔芋,食物,固态干粮
奶酪,食物,固态干粮
草莓酱,食物,调料
白酒,食物,酒水饮料
白水,食物,酒水饮料
冰红茶,食物,酒水饮料
纯净水,食物,酒水饮料
豆浆,食物,酒水饮料
果汁,食物,酒水饮料
橘子汽水,食物,酒水饮料
可口可乐,食物,酒水饮料
牛奶,食物,酒水饮料
瓶装水,食物,酒水饮料
葡萄酒,食物,酒水饮料
汽水,食物,酒水饮料
泉水,食物,酒水饮料
酸奶,食物,酒水饮料
糖浆,食物,酒水饮料
粥,食物,酒水饮料
